order_id,ordertime,store_id,user_id
e6b7f187-0f3c-4de3-b072-532226c454b0,2023-05-14 15:04:24,9f97d64c-3f2c-46d9-9719-9d09498ac8b0,1b7caabe-80fd-47f4-97e0-aee2c1230eca
238ae354-f297-4249-9030-11683c47e468,2022-06-09 08:41:18,9f97d64c-3f2c-46d9-9719-9d09498ac8b0,8f5078ed-e691-439f-8462-06f92911b047
ec715066-a1eb-48eb-a503-83ae1d297829,2025-04-15 18:49:31,8e8fd33c-ea1b-4314-ab4e-667146bd254f,94e7bd4d-e250-4846-b448-53dcc5a1611b
feb35169-f06f-4140-8f94-7eba4e3374a7,2020-05-22 13:21:59,5b6377ce-34e8-4c7d-8014-e3a3446f3cd6,e47d9d55-1417-407e-9085-154b77c8372b
ed537b02-f9b3-456e-b90f-184a1ae0a161,2022-06-06 08:10:44,c22d4825-2fd6-47fa-b2b7-b55c4101b13f,e55f2960-a0ef-4aaa-8170-f3a5f92c0119
497f2b14-356a-42ba-b1fe-6cacb5b5594a,2024-09-07 09:19:43,df6bfe7c-0d80-4c0f-a667-c9f13adab0f3,b2fd68c4-dbd8-46a6-8396-0a99d9c5db61
7797821d-0a75-4022-9ce2-8d6e9f57d568,2025-05-03 19:53:35,2f86907b-76cc-49f4-9dd0-94fb3f784f29,d1c050e9-dc32-4679-b428-ed52cee9b71d
bfeb471c-2ffa-48f3-b6ed-d333061432a0,2024-09-25 09:56:41,bc5871f0-73d2-4317-af75-8dfe58504474,29aae294-fac6-46dc-91c1-da06917a7c3b
a7bb7634-6186-4b55-a699-63f14201b78d,2022-03-27 13:08:45,5b67b313-bf6d-41e7-a90a-d02ad6e51249,f3da0d6a-54a6-4b1b-8b26-7e6bfca9cd23
e280d47f-f431-4ab3-9774-42301089bab2,2024-05-06 12:01:10,289d46a0-3375-40a2-a65a-c8ecef23da4d,7777c0e7-ce32-4814-af4e-4d984630e130
e443ef4a-e1b5-48ac-a9f0-4141a39bddec,2025-12-14 08:55:30,8cb82b2c-bf35-4c16-b57d-253892dabd97,92be8151-f4cd-46a2-ba32-65b46f23869d
55201acf-e2e1-41a1-a306-cf53d726a4ab,2025-04-08 10:38:43,d28eb693-f77e-4af7-b9d1-3a453c009237,e55d2b1e-1e6b-4375-842c-f62dbbd8b82d
a803ab3a-f3f4-46c0-8232-88244720bdff,2023-12-25 21:38:22,aaed1725-d34a-40f9-8dd7-93028b5af4f1,7ce251a4-17f4-4ed4-a1fa-864b25f79655
524baac7-bb41-46c9-aae3-baea98acf2b7,2023-09-08 19:30:01,2f86907b-76cc-49f4-9dd0-94fb3f784f29,b8ed3842-4119-40b5-9a7d-236334fccd73
32972ab6-0a65-4869-9e22-fc483840c93b,2023-07-07 19:17:32,cb04aebb-c7ae-4201-9883-5d4da3993d3e,26252cf6-c571-45f2-9164-d896ec554f8b
8f2dd71b-d107-4a1b-a74f-66fbc730fbbc,2022-06-22 11:55:50,6d5949b0-9c3e-4578-a02e-8711f369c714,93a4a5bb-5040-4bde-a41b-d4102c8713e5
e2eddbdf-1fc7-4dba-a74d-1999f41ca2bd,2025-03-05 19:43:35,f9926e47-5784-4bd2-94dc-6dcbc03f4968,da6a540a-9183-4d2b-bf09-c97cdca6ef5a
4bcf1094-b173-45a8-b045-c082efe7410d,2024-11-07 08:14:05,6e27089c-e4c7-4e44-808a-24dcfe758adb,5ccb7dbb-0481-4955-ae30-e743f47c4203
93d6538b-2740-4ecc-8643-4a4793fef446,2023-09-24 08:43:33,83a43041-4bcc-47c9-a3d2-8eef95742a5f,a47a6c6b-e0f1-4b11-b182-b3433672ff64
