item_id,item_name,item_type,item_price
88710f75-9925-4523-8327-8593694eabb1,아메리카노,커피,3500
cd3b195b-7122-4d3b-b58a-e31514be92e1,카페라떼,커피,4000
26fca9ea-e65f-49b0-99b2-60da79c274c1,바닐라라떼,커피,4500
ed3e1b44-c8a4-42d3-af71-dbfa37b768c4,카푸치노,커피,4000
0679dc0c-66c0-4026-991e-726a18e477e3,콜드브루,커피,4500
94ba5107-930d-47c8-ab99-cb944a1ce0b4,헤이즐넛라떼,커피,4700
689bba47-9d64-46bd-acb6-3b741e0fffc0,카라멜마끼아또,커피,4800
aad1858f-866a-4818-a2b9-9b4e66d2dc74,녹차라떼,논커피,4500
819908c1-5bb0-40bd-841e-2e5a1433ccea,초코라떼,논커피,4500
0a22730a-d9be-4e4d-ab28-c472f6d3e7df,고구마라떼,논커피,4700
cd97ee3b-f12b-4490-890e-017cd91684b3,밀크티,논커피,5000
7e20dac8-f49e-4262-8fcf-796dc56b629b,유자차,논커피,4000
0218ce5d-5f69-4982-8ebf-a92378de59e6,자몽에이드,논커피,5000
56923ff0-21b0-4e12-a263-df05f8c3a992,레몬에이드,논커피,5000
341b7cdf-0b98-41f5-a0bc-d04057f9994e,치즈케이크,디저트,5500
a90badf7-74ae-4d27-8bc4-21a6e22b228c,티라미수,디저트,5800
1595efee-a826-4148-89c1-63727ddb19a3,브라우니,디저트,5000
77e4d24c-d17b-4396-8fc9-19c7a4578855,마카롱,디저트,4500
3bb33775-5f39-4c04-bd74-2ebc8611f683,스콘,디저트,4300
0c910c12-e6da-4429-9ef4-0dd71d3e727d,크로플,디저트,5200
