order_id,ordertime,store_id,user_id,order_item_id,item_id
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,d3566124-8f24-4a9b-953a-3f27f94f042d,341b7cdf-0b98-41f5-a0bc-d04057f9994e
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,2009d72a-1442-47c8-b0e2-a0a5da025caa,88710f75-9925-4523-8327-8593694eabb1
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,89764078-f98f-4894-b46e-4e251cae520f,1595efee-a826-4148-89c1-63727ddb19a3
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,c40cee30-0428-4efb-9248-f2dd82e63b1b,cd3b195b-7122-4d3b-b58a-e31514be92e1
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,c72d781d-43fe-430e-b5eb-c06c92b08e24,819908c1-5bb0-40bd-841e-2e5a1433ccea
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,8f63aaba-9933-44ec-93de-8dd470daf534,cd3b195b-7122-4d3b-b58a-e31514be92e1
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,f1be16ba-f254-40f7-8620-1f503891d618,94ba5107-930d-47c8-ab99-cb944a1ce0b4
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,8caa606a-266f-4cf1-bf7f-b3f8c37bb7a8,88710f75-9925-4523-8327-8593694eabb1
5426a140-4896-4c53-a1d5-d2c9e56e4a59,2021-04-17 16:35:36,dbba0789-d25d-49db-91ad-109674c23e50,f0564085-25d4-45b3-9c98-eccbdfd24c29,d8d23c45-c1f8-4b81-a54f-bb0a23bed9a6,cd97ee3b-f12b-4490-890e-017cd91684b3
e8810e46-fc0a-4a95-980c-90880461150c,2024-04-20 16:37:37,32a98104-c3ef-4fc4-b8cc-338e961e79d6,3e2531d3-d191-4ac7-89c6-d95a03ac1b61,0c9ec603-72d9-499f-9ad2-7f4d599d5c0b,cd3b195b-7122-4d3b-b58a-e31514be92e1
