order_item_id,order_id,item_id
d3566124-8f24-4a9b-953a-3f27f94f042d,5426a140-4896-4c53-a1d5-d2c9e56e4a59,341b7cdf-0b98-41f5-a0bc-d04057f9994e
2009d72a-1442-47c8-b0e2-a0a5da025caa,5426a140-4896-4c53-a1d5-d2c9e56e4a59,88710f75-9925-4523-8327-8593694eabb1
89764078-f98f-4894-b46e-4e251cae520f,5426a140-4896-4c53-a1d5-d2c9e56e4a59,1595efee-a826-4148-89c1-63727ddb19a3
c40cee30-0428-4efb-9248-f2dd82e63b1b,5426a140-4896-4c53-a1d5-d2c9e56e4a59,cd3b195b-7122-4d3b-b58a-e31514be92e1
c72d781d-43fe-430e-b5eb-c06c92b08e24,5426a140-4896-4c53-a1d5-d2c9e56e4a59,819908c1-5bb0-40bd-841e-2e5a1433ccea
8f63aaba-9933-44ec-93de-8dd470daf534,5426a140-4896-4c53-a1d5-d2c9e56e4a59,cd3b195b-7122-4d3b-b58a-e31514be92e1
f1be16ba-f254-40f7-8620-1f503891d618,5426a140-4896-4c53-a1d5-d2c9e56e4a59,94ba5107-930d-47c8-ab99-cb944a1ce0b4
8caa606a-266f-4cf1-bf7f-b3f8c37bb7a8,5426a140-4896-4c53-a1d5-d2c9e56e4a59,88710f75-9925-4523-8327-8593694eabb1
d8d23c45-c1f8-4b81-a54f-bb0a23bed9a6,5426a140-4896-4c53-a1d5-d2c9e56e4a59,cd97ee3b-f12b-4490-890e-017cd91684b3
0c9ec603-72d9-499f-9ad2-7f4d599d5c0b,e8810e46-fc0a-4a95-980c-90880461150c,cd3b195b-7122-4d3b-b58a-e31514be92e1
4020a06c-46d0-4612-9505-e51823d29932,e8810e46-fc0a-4a95-980c-90880461150c,94ba5107-930d-47c8-ab99-cb944a1ce0b4
b98d1c23-8596-44f4-85f9-14231c6b1f4f,e8810e46-fc0a-4a95-980c-90880461150c,3bb33775-5f39-4c04-bd74-2ebc8611f683
9945afd0-66df-4e2e-bf43-82c626f04f9b,e8810e46-fc0a-4a95-980c-90880461150c,819908c1-5bb0-40bd-841e-2e5a1433ccea
d70f0b04-4c7f-468b-af33-c50fbce280ba,e8810e46-fc0a-4a95-980c-90880461150c,819908c1-5bb0-40bd-841e-2e5a1433ccea
521b01d1-a7bd-424a-ad83-f247d94d201a,e8810e46-fc0a-4a95-980c-90880461150c,ed3e1b44-c8a4-42d3-af71-dbfa37b768c4
ace52441-0c9c-4952-a55a-b5429582a4a5,e8810e46-fc0a-4a95-980c-90880461150c,341b7cdf-0b98-41f5-a0bc-d04057f9994e
cfd0a5fd-3ace-4886-9adc-4b365b73f1f9,e8810e46-fc0a-4a95-980c-90880461150c,341b7cdf-0b98-41f5-a0bc-d04057f9994e
7621f728-8710-4685-a890-00a1fd902e96,96d1178c-96f6-45e9-81aa-3b9c742ecb17,689bba47-9d64-46bd-acb6-3b741e0fffc0
