item_id,item_name,item_type,item_price
2028f23a-4726-49ab-b536-ca9b46b99186,아메리카노,커피,3500
7c168a12-c3fd-4067-8f3e-a226f55edfc5,카페라떼,커피,4000
51f6cb32-8810-40ab-9fd5-abd87f87fc21,바닐라라떼,커피,4500
ceb784fb-009d-4b62-a01e-01f7ce170962,카푸치노,커피,4000
99230a6d-df30-4a66-ab01-eb8c84007bb3,콜드브루,커피,4500
6275a8d6-28e3-43b0-bf24-7713867168c3,헤이즐넛라떼,커피,4700
383f1fe2-01bd-4cf1-9d57-98aaf85201b4,카라멜마끼아또,커피,4800
bb7b24fb-458c-4914-b4ea-17ceca2e7731,녹차라떼,논커피,4500
c9345fd0-2a4f-4add-b647-fa8097e2d7b4,초코라떼,논커피,4500
3629d5af-08fe-4752-a00c-576edb377230,고구마라떼,논커피,4700
17301758-c3ef-4a71-8ee6-2a7a185b2282,밀크티,논커피,5000
5cc7a539-6878-44f4-8d7f-671e75f17fcc,유자차,논커피,4000
883deedb-684a-4871-a24a-21723df9475e,자몽에이드,논커피,5000
e1e0b545-ebe8-41e0-9d78-5d5e63b67019,레몬에이드,논커피,5000
8f0d658d-2094-4c75-8223-5c9a7461759d,치즈케이크,디저트,5500
7a1c72a5-5a0f-4957-857e-d57f7fcb2b2a,티라미수,디저트,5800
a17a6e33-02dd-444e-85ce-fd103a733705,브라우니,디저트,5000
f5e2ec3f-71e3-46f3-84a0-399eda7f77da,마카롱,디저트,4500
1d70bfb8-4bbb-467c-8df8-bb5976156d44,스콘,디저트,4300
0fe7e2eb-7e7b-4a21-8008-880d1f9d4d50,크로플,디저트,5200
