store_id,store_type,store_name,store_address
19c5b4ed-3dd3-41dc-b17f-f8870e141de1,커피빈,커피빈 영등포점,서울특별시 영등포구 영등포로39길 97
c937acfe-15b0-490f-be37-07a528d76074,매머드커피,매머드커피 난곡점,서울특별시 관악구 난곡로6길 89
54576f2e-3906-4de4-8b9c-b6f51d618f94,투썸플레이스,투썸플레이스 신반포점,서울특별시 서초구 신반포로43길 19
16aba138-52d1-4d7a-bd0d-0913d0d24a5b,이디야커피,이디야커피 백제고분점,서울특별시 송파구 백제고분로31길 59
0726aea1-2983-492a-833d-6ea5efb65ad5,매머드커피,매머드커피 반포점,서울특별시 서초구 반포대로40길 27
5b743763-9896-420e-9dae-a1676bd5cdd6,커피빈,커피빈 영등포점,서울특별시 영등포구 영등포로33길 35
f3e4ff3f-acf1-415d-bb06-1da2e06c8229,할리스커피,할리스커피 증산점,서울특별시 은평구 증산로38길 77
66cbb39b-72e0-45d6-bfbc-d1fe827ba94a,매머드커피,매머드커피 동일점,서울특별시 노원구 동일로1길 80
7b3e32ae-4765-470b-8605-fde6309d9764,할리스커피,할리스커피 두산점,서울특별시 금천구 두산로31길 63
aa788915-c5ae-462d-9d04-cfb53027c566,컴포즈커피,컴포즈커피 도산점,서울특별시 강남구 도산대로36길 95
0813ee5d-6564-409b-a917-bd010499acd9,컴포즈커피,컴포즈커피 중점,서울특별시 송파구 중대로42길 92
37e2de1a-4c1c-424f-9fae-f5b260608b05,매머드커피,매머드커피 세종점,서울특별시 종로구 세종대로49길 50
1b7c92c3-19ed-4be9-83a2-cac653861faa,컴포즈커피,컴포즈커피 선유점,서울특별시 영등포구 선유로34길 74
972b819e-60d8-49bb-9b92-bca351d99fda,스타벅스,스타벅스 양화점,서울특별시 마포구 양화로32길 67
506416f6-271e-42a2-823a-bdbeedf835f4,할리스커피,할리스커피 광나루점,서울특별시 광진구 광나루로12길 38
c0314a30-b1c0-4993-9b85-3ebdb10ec338,메가커피,메가커피 을지점,서울특별시 중구 을지로16길 53
dcc743ac-55eb-405f-8544-e0ae1099b894,스타벅스,스타벅스 아차산점,서울특별시 광진구 아차산로27길 33
cfccfb15-30e2-43e2-810e-deacc4fbbdfe,커피빈,커피빈 화곡점,서울특별시 강서구 화곡로24길 12
e42e33e5-0820-4269-b372-0da04743174d,스타벅스,스타벅스 망우점,서울특별시 중랑구 망우로42길 74
fa355c82-c095-43d4-8d79-4a7886538cb4,스타벅스,스타벅스 노해점,서울특별시 도봉구 노해로42길 10
261b46d3-13a5-46b1-aea7-2ee071c3da23,컴포즈커피,컴포즈커피 율곡점,서울특별시 종로구 율곡로6길 52
627f5d8e-fa6b-438f-a06f-e4b430fd4dd2,할리스커피,할리스커피 영동점,서울특별시 강남구 영동대로1길 66
fee916e6-b01a-401b-abf8-7bfb055f9b84,메가커피,메가커피 세종점,서울특별시 종로구 세종대로35길 4
e4322f1d-02bb-442c-b694-630ac47b9d83,커피빈,커피빈 종암점,서울특별시 성북구 종암로31길 11
fc8f5099-0436-4247-b921-9d3801a46952,메가커피,메가커피 양천점,서울특별시 강서구 양천로37길 59
785b4ac6-c46f-457a-b8d3-684932b1eb73,컴포즈커피,컴포즈커피 남부순환점,서울특별시 관악구 남부순환로7길 74
a7174d7e-c5dc-4994-aa0e-fa3eb9531991,컴포즈커피,컴포즈커피 필동점,서울특별시 중구 필동로41길 6
b250ec36-d412-4667-acc6-5bbb4c1ca9d3,투썸플레이스,투썸플레이스 퇴계점,서울특별시 중구 퇴계로13길 91
8eb0b412-0b59-4abd-86a5-c2bef0629196,컴포즈커피,컴포즈커피 강남점,서울특별시 서초구 강남대로34길 25
d61e018f-6640-45cf-a22a-45ba27a44b90,할리스커피,할리스커피 세종점,서울특별시 중구 세종대로34길 4
4be3316c-b538-41f5-8afa-2d4e01dd8b70,매머드커피,매머드커피 자하문점,서울특별시 종로구 자하문로39길 12
6a8a7cdf-3cbe-4cb9-b582-9fd888e6a198,스타벅스,스타벅스 반포점,서울특별시 서초구 반포대로21길 41
325814d7-9c5d-4dd5-b182-928ad102f806,할리스커피,할리스커피 통일점,서울특별시 서대문구 통일로34길 71
5153099f-1054-4344-82da-30a358d5f86a,매머드커피,매머드커피 장한점,서울특별시 동대문구 장한로28길 20
b85dc330-bafd-4fac-a587-d34411e8196b,블루보틀,블루보틀 금호점,서울특별시 성동구 금호로30길 92
32d491cb-e4a9-4803-8ff4-c42e96399ae6,컴포즈커피,컴포즈커피 도봉점,서울특별시 도봉구 도봉로13길 30
cae9da02-7653-4fa2-8c9f-80d91b0205d5,스타벅스,스타벅스 디지털점,서울특별시 구로구 디지털로8길 29
61052ee3-c2b8-4fa3-a180-480420018cee,투썸플레이스,투썸플레이스 청파점,서울특별시 용산구 청파로14길 33
1f4b3c17-2284-40d6-991d-9093cc0dd988,메가커피,메가커피 디지털점,서울특별시 구로구 디지털로18길 43
eed9b92e-6f40-4f81-a256-5d3157c50ac7,이디야커피,이디야커피 서초점,서울특별시 서초구 서초대로25길 85
dff36376-677b-4989-a848-c44ed99d111d,스타벅스,스타벅스 테헤란점,서울특별시 강남구 테헤란로36길 53
7ab1c3a0-0630-4759-bbf9-8a9f21d8e487,블루보틀,블루보틀 월드컵점,서울특별시 마포구 월드컵로23길 48
15381f45-de9d-4845-b955-a08a992484bd,이디야커피,이디야커피 청계천점,서울특별시 중구 청계천로47길 17
bc14bf86-21da-4035-b9cc-02d34b43bd0a,할리스커피,할리스커피 국회점,서울특별시 영등포구 국회대로35길 92
243bc04a-b4f7-4d4a-9619-82fe979aef96,폴바셋,폴바셋 삼봉점,서울특별시 종로구 삼봉로6길 30
4afc4266-3256-4b95-99ab-94da312ec0ca,폴바셋,폴바셋 중랑천점,서울특별시 중랑구 중랑천로48길 59
83727936-ba79-48ea-9fb5-47e7f0a151f5,컴포즈커피,컴포즈커피 아차산점,서울특별시 광진구 아차산로20길 51
26cf9dce-1145-4985-904c-c77b965c2c09,할리스커피,할리스커피 오목점,서울특별시 양천구 오목로39길 82
88828879-5e9d-4922-aea2-1e5aa3a5c942,이디야커피,이디야커피 망우점,서울특별시 중랑구 망우로15길 84
bacc5583-81b1-47f9-b8cb-a3196f773ce8,폴바셋,폴바셋 아차산점,서울특별시 광진구 아차산로13길 59
a8e6e6e4-163c-4418-9bf9-d940ecd9c8af,스타벅스,스타벅스 동일점,서울특별시 노원구 동일로3길 84
38c120eb-9a57-4dce-b79a-3db252a00330,투썸플레이스,투썸플레이스 천호점,서울특별시 동대문구 천호대로10길 85
7633f155-fa15-4b88-9a78-8a8c0db45d1d,이디야커피,이디야커피 백제고분점,서울특별시 송파구 백제고분로11길 29
8e4ab920-419f-4c50-807c-ad576862c031,할리스커피,할리스커피 자양점,서울특별시 광진구 자양로11길 90
effc2cd5-3bec-4c91-9f40-e291cf79d3d6,폴바셋,폴바셋 오금점,서울특별시 송파구 오금로3길 68
30156b0f-9ec8-48e3-9d55-57b022574b76,메가커피,메가커피 마조점,서울특별시 성동구 마조로40길 65
1c724aa5-8d25-40aa-98ec-986c38773f4e,할리스커피,할리스커피 오목점,서울특별시 양천구 오목로43길 48
78edbaa1-97f0-413b-bbd8-ecd957ff4cc4,이디야커피,이디야커피 중랑천점,서울특별시 중랑구 중랑천로11길 99
c32899b6-fae8-4869-95ac-3621a1cff0a5,스타벅스,스타벅스 국회점,서울특별시 영등포구 국회대로44길 2
be61095c-f878-486a-9f15-817df051f41d,스타벅스,스타벅스 문정점,서울특별시 송파구 문정로38길 75
9ed61324-02ad-4116-8c76-8bdc7f86a051,커피빈,커피빈 장한점,서울특별시 동대문구 장한로6길 48
d8afa635-a450-469a-90f9-c5ff76635a9f,스타벅스,스타벅스 청파점,서울특별시 용산구 청파로7길 38
6f2d1cf9-ad80-4b32-9cb0-4f221cf19497,이디야커피,이디야커피 한강점,서울특별시 용산구 한강대로38길 76
f26088af-b2da-4e64-939c-4af9e8e30f0d,할리스커피,할리스커피 삼양점,서울특별시 강북구 삼양로1길 58
fe82645a-65cc-41f9-8d0f-f8314416c3dc,매머드커피,매머드커피 영동점,서울특별시 강남구 영동대로40길 91
a74a8642-ac1e-4eab-9856-62e09c10f059,폴바셋,폴바셋 경인점,서울특별시 구로구 경인로34길 99
a9a9d0be-ce5b-4829-a19e-556ad8937c23,커피빈,커피빈 사직점,서울특별시 종로구 사직로47길 12
e784e53e-0b4c-4195-8db1-1d2d0db73e1b,이디야커피,이디야커피 답십리점,서울특별시 동대문구 답십리로5길 60
6c64757e-778f-4b9a-8e61-b3a9ba9fdbaf,메가커피,메가커피 노해점,서울특별시 강북구 노해로42길 10
3a28b084-94fb-4308-8a63-facb4e4ff3cc,이디야커피,이디야커피 망우점,서울특별시 중랑구 망우로2길 65
b35cdfa7-3f6b-4d09-859e-a55a425906e9,투썸플레이스,투썸플레이스 왕산점,서울특별시 동대문구 왕산로23길 54
ba017031-52fd-4bdf-993f-5106f5749fa3,할리스커피,할리스커피 중점,서울특별시 송파구 중대로37길 83
cc14f6d6-e508-4ce6-89c0-ab9c8a81feea,이디야커피,이디야커피 양화점,서울특별시 마포구 양화로12길 14
d8e0634c-3ac3-4612-9f1c-233f330d33c0,투썸플레이스,투썸플레이스 도산점,서울특별시 강남구 도산대로24길 51
fb3a9eaa-4ca1-44bf-998a-e13f6acb70a6,투썸플레이스,투썸플레이스 반포점,서울특별시 서초구 반포대로21길 95
3141bbc3-03b4-449d-84bf-3850a0c60d74,할리스커피,할리스커피 삼양점,서울특별시 강북구 삼양로5길 48
e8d3b2f9-c78d-4efc-863d-3baddbd271b3,매머드커피,매머드커피 한글비석점,서울특별시 노원구 한글비석로27길 100
ddebac39-a960-486e-b36c-c0786bee6f81,스타벅스,스타벅스 종점,서울특별시 종로구 종로14길 34
8ef234cf-0bf3-406f-8203-f10fa112ee10,컴포즈커피,컴포즈커피 명지대길점,서울특별시 서대문구 명지대길12길 94
